Ambiguity	LANGUAGE	Buy Quantity	Name	AA Name	Buy Price	Foil? Y/N	Signed Y/N	Oddity (with detail)	Set	Artist	Source	Buy Date	Buy Notes	Sell Price	Sell Quantity	Sell Date	Sell Place	Shipping	Item ID	Artist Last Name	Notes 1	Notes 2	Notes 3
1	EN	1	Abandon Hope	abandon hope	8	N		Black signature with artist portrait on back	TMP	Alan Pollack	Alan Pollack Artist	2017-11-17		51	1	2022-12-18			19-09483-51919	pollack			
2	EN	1	Abandon Hope	abandon hope	8	N		Black signature with artist sketch on back	TMP	Alan Pollack	Alan Pollack Artist	2017-11-17								pollack			
3	EN	6	Abandon Hope	abandon hope	3	N		Signed Black	TMP	Alan Pollack	Alan Pollack Artist	2017-12-17								pollack	Shiloh Typed		
4	EN	2	Abandon Hope - 2 Card Art Puzzle	abandon hope	16	N		Black signature with art puzzle on back	TMP	Alan Pollack	Alan Pollack Artist	2017-11-17								pollack			
5	EN	1	Abandon Hope - 4 Card Art Puzzle	abandon hope	32	N		Black signature with art puzzle on back	TMP	Alan Pollack	Alan Pollack Artist	2017-11-17								pollack			
6	EN	1	Abduction	abduction	8.89	N		AP Signed	WTH	Colin MacNeil	Euro Collection Jose Peralta Garcia	2018-11-29								macneil			7.5
7	EN	1	Abey Gargoyles	abey gargoyles	5	N		AP-UnSigned	HML	Christopher Rush	eBay	2019								rush			
8	EN	1	Aboroth	aboroth	5	N		Signed	WTH	Brom	Tony Manion	2021-03-26								brom	Shiloh Typed		
9	EN	1	Absolute Law	absolute law	3	N		Shadow signed on front - silver and black	USG	Mark Zug	Artist	2017								zug			
10	EN	1	Abu Ja'far	abu ja'far	3	N		AP-To Elizabeth (liz)	CHR	Ken Meyer, Jr.	Tim Lawrence	2019-02	Can not sell for 10 years							meyer			
11	EN	2	Abyssal Hunter	abyssal hunter	4	N		Shadow Sign (Bronze/Black)	MIR	Steve Luke	Artist Website	2020-09-07								luke	Shiloh Typed		
11	EN	1	Abyssal Hunter	abyssal hunter	4	N		Shadow Sign (Bronze/Black)	MIR	Steve Luke	Artist Website	2020-09-07		13	1	2022-02-08			19-08231-47006	luke	Shiloh Typed		
12	EN	1	Accumulated Knowledge	accumulated knowledge	3	N		AP-Signed	NEM	Randy Gallegos	FB	2017								gallegos			
13	EN	1	Acidic Slime	acidic slime	11.86	N		Signed with sketch	M11	Karl Kopinski	Euro Collection Jose Peralta Garcia	2018-11-29								kopinski			10
14	EN	1	Active Volcano	active volcano	4	N		AP-Signed	4ED	Justin Hampton	Tim Lawrence	2019-02								hampton			
15	EN	1	Adarkar Windform	adarkar windform	3	N		Signed Black	CSP	Randy Gallegos	Artist Website	2021-01-28								gallegos	Shiloh Typed		
16	EN	8	Adarkar Windform	adarkar windform	4	N		Front shadow signature - blue and black. Back shadow signature - silver and black.	CSP	Randy Gallegos	Randy Gallegos	2017-11-20								gallegos			
17	EN	2	Aeopile	aeopile	5	N		AP Signed	FEM	Heather Hudson	Tim Lawrence	2018-09-29								hudson			
18	EN	9	Aerial Toastmaster	aerial toastmaster	4	N		B&S shad. sig.	UST	Carl Critchlow	Carl Critchlow	2018								critchlow			
19	EN	4	Aerial Toastmaster	aerial toastmaster	6	N		B&S shad. sig.	UST	Carl Critchlow	Carl Critchlow	2018								critchlow			
20	EN	1	Aerial Toastmaster	aerial toastmaster	19	N		B&S shad. sig. & artwork back (b&w)	UST	Carl Critchlow	Carl Critchlow	2018								critchlow			
21	EN	1	Aerial Toastmaster	aerial toastmaster	66	Y		B&S shad. sig. & artwork back (color)	UST	Carl Critchlow	Carl Critchlow	2018								critchlow			
22	EN	1	Aesthir Glider 116a	aesthir glider	10	N		Signed thin blue	ALL	Ruth Thompson	Email Jon A Maple	2017								thompson			
23	EN	1	Aesthir Glider 116b	aesthir glider	10	N		Signed thin blue	ALL	Ruth Thompson	Email Jon A Maple	2017								thompson			
24	EN	10	Aether Hub	aether hub	1	N		Signed Black	KLD	Sam Burley	Artist Website	2020-10-21								burley	Shiloh Typed		
25	EN	1	Aether Hub	aether hub	2	Y		Signed Black	KLD	Sam Burley	Artist Website	2020-10-21								burley	Shiloh Typed		
26	EN	9	Aether Spellbomb	aether spellbomb	6	N		Black and blue shadow signature on front	MRD	Jim Nelson	Jim Nelson	2016-12-28								nelson			
27	EN	2	Aether Vial	aether vial	23.71	N		Signed with sketch	MMA	Karl Kopinski	Euro Collection Jose Peralta Garcia	2018-11-29								kopinski			20
28	EN	1	Aether Vial	aether vial	22	Y		AP-Unsigned	IMA	Karl Kopinski	eBay dheader	2018-05								kopinski			
29	EN	1	Aetherling	aetherling	3.36	N		Signed thick black	DGM	Tyler Jacobson	Mark Aronowitz	2020-03-09	Copy 20/30							jacobson			
30	EN	1	Aetherling	aetherling	3.36	N		Signed thick black	DGM	Tyler Jacobson	Mark Aronowitz	2020-03-09	Copy 24/30							jacobson			
31	EN	1	Aetherling	aetherling	3.36	N		Signed thick black	DGM	Tyler Jacobson	Mark Aronowitz	2020-03-09	Copy 25/30							jacobson			
32	EN	1	Aethermage's Touch	aethermage's touch	8	Y		Front shadow signature - gold and black	MM3	Randy Gallegos	Randy Gallegos	2017-11-20	Copy 1/55							gallegos			
33	EN	1	Aethermage's Touch	aethermage's touch	8	Y		Front shadow signature - gold and black	MM3	Randy Gallegos	Randy Gallegos	2017-11-20	Copy 2/55							gallegos			
34	EN	1	Aethermage's Touch	aethermage's touch	8	Y		Front shadow signature - gold and black	MM3	Randy Gallegos	Randy Gallegos	2017-11-20	Copy 3/55							gallegos			
35	EN	1	Aethermage's Touch	aethermage's touch	8	Y		Front shadow signature - gold and black	MM3	Randy Gallegos	Randy Gallegos	2017-11-20	Copy 4/55							gallegos			
36	EN	1	Aetherplasm	aetherplasm	17.79	N		Signed with sketch	GPT	Nottsuo	Euro Collection Jose Peralta Garcia	2018-11-29								nottsuo			15
37	EN	1	Aethersnatch	aethersnatch	10	N		AP-Signed	C15	Aaron Miller	FB	2018								miller			
