ambiguity,name,set_code,artist,discrepancy,correct_artists,correct_sets
7,abey gargoyles,HML,Christopher Rush,Name not found in db,,
14,active volcano,4ED,Justin Hampton,Set not found in dbgit ,Justin Hampton,"bchr, chr, me3, leg"
17,aeopile,FEM,Heather Hudson,Name not found in db,,
38,aethersnipe,MMA,Z Boros and G Szikszai,Artist not found in db,Zoltan Boros & Gabor Szikszai,"dd2, mm2, uma, mma, cmd, plst, 2x2, jvc, lrw"
46,ajani's pridemate token,M20,Howard Lyon,Name not found in db,,
59,"ajani, strength of the pride",M19,Chris Rallis,Set not found in dbgit ,Chris Rallis,"j22, pm20, plst, m20"
60,"ajani, strength of the pride",M19,Chris Rallis,Set not found in dbgit ,Chris Rallis,"j22, pm20, plst, m20"
61,"ajani, strength of the pride",M19,Chris Rallis,Set not found in dbgit ,Chris Rallis,"j22, pm20, plst, m20"
64,akki coalfinger,CHK,Nottsuo,Name not found in db,,
66,akki underminder,CHK,Thomas M Baxa,Name not found in db,,
68,akroma's memorial,FUT,Dan Scott,Artist not found in db,"Ricardo Cavolo, Dan Murayama Scott","m13, sld, tsr, plst, ha3, fut"
69,akroma's memorial,FUT,Dan Scott,Artist not found in db,"Ricardo Cavolo, Dan Murayama Scott","m13, sld, tsr, plst, ha3, fut"
70,akroma's memorial,FUT,Dan Scott,Artist not found in db,"Ricardo Cavolo, Dan Murayama Scott","m13, sld, tsr, plst, ha3, fut"
71,akroma's memorial,FUT,Dan Scott,Artist not found in db,"Ricardo Cavolo, Dan Murayama Scott","m13, sld, tsr, plst, ha3, fut"
82,"alrund, god of the cosmos",KHM,Richard Luong,Name not found in db,,
83,"alrund, god of the cosmos",KHM,Richard Luong,Name not found in db,,
95,an-havva constable,ICE,Dan Frazier,Set not found in dbgit ,Dan Frazier,"5ed, hml"
116,"angel's feather, kraken's eye, dragon's claw, demon's horn, wurm's tooth",M12,Alan Pollack,Name not found in db,,
117,"angel's feather, kraken's eye, dragon's claw, demon's horn, wurm's tooth",M12,Alan Pollack,Name not found in db,,
118,"angel's feather, kraken's eye, dragon's claw, demon's horn, wurm's tooth",M12,Alan Pollack,Name not found in db,,
119,"angel's feather, kraken's eye, dragon's claw, demon's horn, wurm's tooth","SOM, 10E, 9ED, M10, M11, M12, DST",Alan Pollack,Name not found in db,,
120,"angel's feather, kraken's eye, dragon's claw, demon's horn, wurm's tooth",10E,Alan Pollack,Name not found in db,,
121,"angel's feather, kraken's eye, dragon's claw, demon's horn, wurm's tooth",10E,Alan Pollack,Name not found in db,,
122,"angel's feather, kraken's eye, dragon's claw, demon's horn, wurm's tooth",10E,Alan Pollack,Name not found in db,,
123,"angel's feather, kraken's eye, dragon's claw, demon's horn, wurm's tooth",9ED,Alan Pollack,Name not found in db,,
124,"angel's feather, kraken's eye, dragon's claw, demon's horn, wurm's tooth",9ED,Alan Pollack,Name not found in db,,
125,"angel's feather, kraken's eye, dragon's claw, demon's horn, wurm's tooth",9ED,Alan Pollack,Name not found in db,,
126,"angel's feather, kraken's eye, dragon's claw, demon's horn, wurm's tooth",DST,Alan Pollack,Name not found in db,,
127,"angel's feather, kraken's eye, dragon's claw, demon's horn, wurm's tooth",DST,Alan Pollack,Name not found in db,,
128,"angel's feather, kraken's eye, dragon's claw, demon's horn, wurm's tooth",DST,Alan Pollack,Name not found in db,,
129,"angel's feather, kraken's eye, dragon's claw, demon's horn, wurm's tooth",M10,Alan Pollack,Name not found in db,,
130,"angel's feather, kraken's eye, dragon's claw, demon's horn, wurm's tooth",M10,Alan Pollack,Name not found in db,,
131,"angel's feather, kraken's eye, dragon's claw, demon's horn, wurm's tooth",M10,Alan Pollack,Name not found in db,,
132,"angel's feather, kraken's eye, dragon's claw, demon's horn, wurm's tooth",M11,Alan Pollack,Name not found in db,,
133,"angel's feather, kraken's eye, dragon's claw, demon's horn, wurm's tooth",M11,Alan Pollack,Name not found in db,,
134,"angel's feather, kraken's eye, dragon's claw, demon's horn, wurm's tooth",M11,Alan Pollack,Name not found in db,,
163,apprentice sorcerer,POR,Christopher Rush,Set not found in dbgit ,Christopher Rush,"plst, p02"
169,arc bound hybrid,DST,Alan Pollack,Name not found in db,,
185,arguel's blood fast,XLN,Daarken,Name not found in db,,
218,ashnod's altar,CRN,Anson Maddocks,Set not found in dbgit ,"Anson Maddocks, Greg Staples, Dmitry Burmak","cmm, bchr, sld, 6ed, 5ed, brr, plst, chr, wc00, rin, ema, me4, atq"
219,ashnod's altar,CRN,Anson Maddocks,Set not found in dbgit ,"Anson Maddocks, Greg Staples, Dmitry Burmak","cmm, bchr, sld, 6ed, 5ed, brr, plst, chr, wc00, rin, ema, me4, atq"
220,ashnod's altar,CRN,Anson Maddocks,Set not found in dbgit ,"Anson Maddocks, Greg Staples, Dmitry Burmak","cmm, bchr, sld, 6ed, 5ed, brr, plst, chr, wc00, rin, ema, me4, atq"
225,ashnoeds cylix,ALL,Nicola Leonard,Name not found in db,,
230,astral arena,PC2,Sam Burley,Set not found in dbgit ,Sam Burley,"opc2, opca"
231,astral arena,PCA,Sam Burley,Set not found in dbgit ,Sam Burley,"opc2, opca"
232,ather membrane,PLC,Z Boros and G Szikszai,Name not found in db,,
251,aurochs,ICE,Ken Meyer Jr.,Artist not found in db,"Steve White, Ken Meyer, Jr.","ice, 5ed, cst, me2"
261,aven brigader,ONS,Greg Staples,Name not found in db,,
266,avenger of zendikar,WWK,Z Boros and G Szikszai,Artist not found in db,"Dominik Mayer, Aleksi Briclot, Zoltan Boros & Gabor Szikszai","ncc, wwk, sld, c13, 2xm, otc, j22, prm, c18, cmr, ddp, plst, m3c"
273,awe strike,MRD,Scott Fischer,Artist not found in db,Scott M. Fischer,mrd
277,"babygodzilla, ruin reborn / pollywog symbiote",IKO,Simon Dominic,Name not found in db,,
278,"babygodzilla, ruin reborn / pollywog symbiote",IKO,Simon Dominic,Name not found in db,,
278,"babygodzilla, ruin reborn / pollywog symbiote",IKO,Simon Dominic,Name not found in db,,
279,"babygodzilla, ruin reborn / pollywog symbiote",IKO,Simon Dominic,Name not found in db,,
